Id,GEOID,Geography,County,State,Total; Estimate; Population for whom poverty status is determined,Below poverty level; Estimate; Population for whom poverty status is determined,poverty_percent
1400000US48201552500,48201552500,Census Tract 5525, Harris County, Texas,10109,817,0.080819072
1400000US48201552601,48201552601,Census Tract 5526.01, Harris County, Texas,5122,1297,0.253221398
1400000US48201552602,48201552602,Census Tract 5526.02, Harris County, Texas,6428,295,0.045892968
1400000US48201552700,48201552700,Census Tract 5527, Harris County, Texas,8091,686,0.084785564
1400000US48201552800,48201552800,Census Tract 5528, Harris County, Texas,8910,772,0.08664422
1400000US48201552900,48201552900,Census Tract 5529, Harris County, Texas,6437,657,0.10206618
1400000US48201553001,48201553001,Census Tract 5530.01, Harris County, Texas,5085,179,0.035201573
1400000US48201553002,48201553002,Census Tract 5530.02, Harris County, Texas,4728,994,0.210236887
1400000US48201553100,48201553100,Census Tract 5531, Harris County, Texas,5941,490,0.082477697
1400000US48201553200,48201553200,Census Tract 5532, Harris County, Texas,6132,1290,0.21037182
1400000US48201553300,48201553300,Census Tract 5533, Harris County, Texas,4951,1257,0.253888103
1400000US48201553401,48201553401,Census Tract 5534.01, Harris County, Texas,3838,50,0.013027619
1400000US48201553402,48201553402,Census Tract 5534.02, Harris County, Texas,6807,143,0.021007786
1400000US48201553403,48201553403,Census Tract 5534.03, Harris County, Texas,5887,149,0.025310005
1400000US48201553500,48201553500,Census Tract 5535, Harris County, Texas,5698,265,0.046507547
1400000US48201553600,48201553600,Census Tract 5536, Harris County, Texas,6932,317,0.045729948
1400000US48201553700,48201553700,Census Tract 5537, Harris County, Texas,4092,426,0.104105572
1400000US48201553801,48201553801,Census Tract 5538.01, Harris County, Texas,2675,218,0.081495327
1400000US48201553802,48201553802,Census Tract 5538.02, Harris County, Texas,7309,394,0.053906143
1400000US48201553900,48201553900,Census Tract 5539, Harris County, Texas,7892,146,0.018499747
1400000US48201554001,48201554001,Census Tract 5540.01, Harris County, Texas,3749,459,0.122432649
1400000US48201554002,48201554002,Census Tract 5540.02, Harris County, Texas,4334,139,0.032071989
1400000US48201554101,48201554101,Census Tract 5541.01, Harris County, Texas,1197,11,0.009189641
1400000US48201554102,48201554102,Census Tract 5541.02, Harris County, Texas,10533,505,0.047944555
1400000US48201554200,48201554200,Census Tract 5542, Harris County, Texas,7126,663,0.093039573
1400000US48201554301,48201554301,Census Tract 5543.01, Harris County, Texas,6799,62,0.009118988
1400000US48201554302,48201554302,Census Tract 5543.02, Harris County, Texas,4528,264,0.058303887
1400000US48201554401,48201554401,Census Tract 5544.01, Harris County, Texas,14397,240,0.01667014
1400000US48201554402,48201554402,Census Tract 5544.02, Harris County, Texas,12292,330,0.02684673
1400000US48201554403,48201554403,Census Tract 5544.03, Harris County, Texas,8982,529,0.058895569
1400000US48201554501,48201554501,Census Tract 5545.01, Harris County, Texas,5938,106,0.017851128
1400000US48201554502,48201554502,Census Tract 5545.02, Harris County, Texas,6281,114,0.018149976
1400000US48201554600,48201554600,Census Tract 5546, Harris County, Texas,4732,47,0.009932375
1400000US48201554700,48201554700,Census Tract 5547, Harris County, Texas,7146,129,0.018052057
1400000US48201554801,48201554801,Census Tract 5548.01, Harris County, Texas,15361,1449,0.094329796
1400000US48201554802,48201554802,Census Tract 5548.02, Harris County, Texas,14636,855,0.0584176
1400000US48201554901,48201554901,Census Tract 5549.01, Harris County, Texas,8772,466,0.053123575
1400000US48201554902,48201554902,Census Tract 5549.02, Harris County, Texas,6676,309,0.046285201
1400000US48201554903,48201554903,Census Tract 5549.03, Harris County, Texas,11002,106,0.009634612
1400000US48201555000,48201555000,Census Tract 5550, Harris County, Texas,7503,362,0.048247368
1400000US48201555100,48201555100,Census Tract 5551, Harris County, Texas,8272,706,0.085348162
1400000US48201555200,48201555200,Census Tract 5552, Harris County, Texas,7100,1256,0.176901408
1400000US48201555301,48201555301,Census Tract 5553.01, Harris County, Texas,701,70,0.099857347
1400000US48201555302,48201555302,Census Tract 5553.02, Harris County, Texas,12105,431,0.035605122
1400000US48201555303,48201555303,Census Tract 5553.03, Harris County, Texas,4503,188,0.041749944
1400000US48201555401,48201555401,Census Tract 5554.01, Harris County, Texas,2355,392,0.166454352
1400000US48201555402,48201555402,Census Tract 5554.02, Harris County, Texas,7669,1670,0.217759812
1400000US48201555501,48201555501,Census Tract 5555.01, Harris County, Texas,4211,1013,0.240560437
1400000US48201555502,48201555502,Census Tract 5555.02, Harris County, Texas,18669,2093,0.112110986
1400000US48201555600,48201555600,Census Tract 5556, Harris County, Texas,4905,685,0.139653415
1400000US48201555701,48201555701,Census Tract 5557.01, Harris County, Texas,7334,86,0.011726207
1400000US48201555702,48201555702,Census Tract 5557.02, Harris County, Texas,9566,51,0.005331382
1400000US48201556000,48201556000,Census Tract 5560, Harris County, Texas,7329,950,0.129622049
1400000US48201980000,48201980000,Census Tract 9800, Harris County, Texas,8,4,0.5
1400000US48201980100,48201980100,Census Tract 9801, Harris County, Texas,745,139,0.186577181
